iter	Passed	Remaining
168	2961	14560
169	2976	14532
170	2991	14504
171	3008	14482
172	3025	14464
173	3042	14443
174	3057	14415
175	3073	14391
176	3089	14366
177	3105	14341
178	3122	14320
179	3138	14296
180	3154	14272
181	3171	14255
182	3187	14230
183	3204	14210
184	3220	14189
185	3236	14166
186	3253	14143
187	3269	14120
188	3286	14103
189	3304	14085
190	3320	14065
191	3338	14048
192	3356	14033
193	3373	14014
194	3389	13993
195	3405	13970
196	3422	13949
197	3438	13926
198	3453	13902
199	3470	13882
200	3486	13858
201	3504	13844
202	3521	13823
203	3537	13802
204	3554	13784
205	3571	13766
206	3588	13748
207	3605	13730
208	3622	13711
209	3639	13693
210	3658	13678
211	3674	13658
212	3692	13643
213	3710	13629
214	3727	13608
215	3744	13590
216	3760	13570
217	3778	13552
218	3801	13557
219	3825	13562
220	3849	13569
221	3877	13587
222	3904	13602
223	3922	13587
224	3936	13560
225	3953	13539
226	3969	13517
227	3984	13491
228	4001	13471
229	4017	13450
230	4034	13431
231	4051	13410
232	4067	13388
233	4083	13367
234	4100	13347
235	4115	13322
236	4131	13300
237	4147	13279
238	4163	13258
239	4180	13239
240	4196	13216
241	4212	13194
242	4227	13170
243	4243	13146
244	4260	13128
245	4276	13106
246	4292	13086
247	4309	13067
248	4326	13048
249	4342	13028
250	4358	13007
251	4374	12985
252	4390	12963
253	4406	12940
254	4421	12919
255	4437	12897
256	4452	12873
257	4468	12850
258	4484	12829
259	4499	12806
260	4515	12785
261	4531	12763
262	4546	12741
263	4563	12721
264	4579	12701
265	4595	12680
266	4610	12658
267	4625	12634
268	4641	12613
269	4657	12593
270	4673	12571
271	4689	12551
272	4705	12530
273	4721	12509
274	4737	12490
275	4754	12470
276	4770	12451
277	4786	12429
278	4801	12407
279	4817	12388
280	4833	12368
281	4849	12348
282	4865	12327
283	4881	12307
284	4897	12287
285	4914	12268
286	4930	12248
287	4946	12228
288	4962	12209
289	4978	12189
290	4994	12168
291	5011	12150
292	5027	12131
293	5044	12112
294	5061	12094
295	5077	12075
296	5094	12058
297	5110	12038
298	5126	12019
299	5142	11999
300	5158	11980
301	5175	11961
302	5191	11943
303	5208	11924
304	5228	11913
305	5244	11894
306	5261	11875
307	5278	11860
308	5298	11849
309	5315	11831
310	5332	11813
311	5348	11795
312	5365	11775
313	5381	11756
314	5397	11737
315	5413	11717
316	5429	11698
317	5447	11683
318	5464	11666
319	5480	11646
320	5497	11628
321	5513	11609
322	5530	11590
323	5546	11573
324	5563	11555
325	5579	11536
326	5598	11521
327	5613	11501
328	5629	11480
329	5645	11463
330	5663	11445
331	5679	11427
332	5699	11416
333	5716	11398
334	5732	11379
335	5748	11360
336	5765	11342
337	5781	11323
338	5797	11304
339	5813	11284
340	5829	11264
341	5845	11246
342	5861	11228
343	5878	11209
344	5894	11190
345	5910	11171
346	5926	11153
347	5945	11138
348	5961	11120
349	5977	11101
350	5994	11084
351	6011	11066
352	6027	11048
353	6044	11029
354	6060	11011
355	6076	10993
356	6093	10974
357	6109	10955
358	6125	10937
359	6142	10919
360	6159	10902
361	6176	10885
362	6193	10868
363	6209	10850
364	6226	10833
365	6243	10815
366	6260	10798
367	6277	10780
368	6294	10763
369	6310	10744
370	6326	10726
371	6344	10711
372	6361	10694
373	6378	10677
374	6394	10658
375	6411	10640
376	6427	10621
377	6444	10604
378	6460	10585
379	6476	10567
380	6493	10549
381	6508	10530
382	6525	10512
383	6543	10496
384	6558	10477
385	6575	10458
386	6591	10441
387	6607	10422
388	6623	10402
389	6639	10384
390	6656	10367
391	6672	10349
392	6689	10332
393	6705	10314
394	6722	10296
395	6738	10277
396	6755	10260
397	6771	10242
398	6787	10223
399	6803	10205
400	6820	10187
401	6836	10169
402	6853	10152
403	6869	10134
404	6887	10117
405	6903	10100
406	6919	10082
407	6935	10063
408	6952	10046
409	6969	10028
410	6985	10011
411	7003	9995
412	7019	9976
413	7036	9959
414	7052	9941
415	7068	9923
416	7085	9906
417	7101	9888
418	7118	9871
419	7135	9854
420	7152	9836
421	7169	9819
422	7186	9802
423	7202	9784
424	7219	9767
425	7236	9750
426	7254	9734
427	7272	9719
428	7290	9703
429	7308	9687
430	7325	9671
431	7344	9656
432	7361	9639
433	7379	9624
434	7397	9607
435	7415	9592
436	7432	9576
437	7450	9560
438	7468	9544
439	7486	9528
440	7504	9511
441	7521	9495
442	7539	9480
443	7557	9464
444	7575	9448
445	7593	9432
446	7611	9416
447	7629	9400
448	7646	9383
449	7664	9367
450	7681	9351
451	7700	9335
452	7717	9318
453	7735	9302
454	7752	9286
455	7770	9269
456	7791	9257
457	7808	9240
458	7831	9230
459	7849	9214
460	7867	9198
461	7887	9184
462	7905	9168
463	7922	9152
464	7940	9136
465	7959	9120
466	7976	9104
467	7994	9087
468	8013	9072
469	8032	9057
470	8049	9041
471	8067	9024
472	8085	9008
473	8103	8992
474	8121	8976
475	8140	8961
476	8158	8945
477	8176	8929
478	8194	8913
479	8213	8897
480	8230	8881
481	8248	8864
482	8266	8848
483	8283	8831
484	8301	8815
485	8320	8800
486	8338	8783
487	8356	8767
488	8373	8749
489	8390	8733
490	8407	8715
491	8424	8698
492	8441	8681
493	8458	8663
494	8475	8647
495	8493	8630
496	8510	8613
497	8527	8596
498	8544	8579
499	8562	8562
500	8579	8545
501	8596	8527
502	8614	8511
503	8631	8494
504	8649	8477
505	8666	8461
506	8683	8443
507	8701	8427
508	8719	8411
509	8736	8394
510	8753	8377
511	8771	8360
512	8788	8342
513	8805	8326
514	8822	8308
515	8840	8291
516	8856	8273
517	8873	8256
518	8890	8239
519	8907	8222
520	8924	8205
521	8941	8187
522	8957	8169
523	8975	8153
524	8992	8136
525	9009	8119
526	9026	8101
527	9043	8084
528	9061	8068
529	9079	8051
530	9096	8034
531	9116	8019
532	9134	8003
533	9152	7987
534	9172	7972
535	9190	7956
536	9209	7940
537	9228	7925
538	9246	7908
539	9263	7891
540	9282	7875
541	9299	7858
542	9317	7841
543	9334	7824
544	9352	7807
545	9369	7791
546	9387	7774
547	9405	7757
548	9422	7740
549	9439	7723
550	9456	7705
551	9474	7689
552	9491	7671
553	9508	7655
554	9526	7638
555	9544	7621
556	9561	7604
557	9579	7587
558	9596	7570
559	9613	7553
560	9630	7536
561	9647	7519
562	9665	7502
563	9682	7485
564	9699	7468
565	9717	7451
566	9735	7434
567	9752	7417
568	9769	7400
569	9786	7382
570	9804	7366
571	9821	7349
572	9839	7332
573	9857	7315
574	9874	7298
575	9891	7281
576	9909	7264
577	9926	7247
578	9943	7230
579	9961	7213
580	9978	7196
581	9995	7179
582	10013	7162
583	10031	7145
584	10049	7129
585	10067	7112
586	10085	7096
587	10103	7079
588	10121	7062
589	10139	7046
590	10157	7029
591	10176	7013
592	10194	6996
593	10212	6980
594	10230	6963
595	10248	6946
596	10266	6930
597	10284	6913
598	10302	6897
599	10321	6880
600	10339	6864
601	10358	6848
602	10377	6832
603	10396	6816
604	10415	6800
605	10434	6783
606	10451	6767
607	10470	6750
608	10489	6734
609	10508	6718
610	10526	6701
611	10545	6685
612	10564	6669
613	10581	6652
614	10600	6635
615	10619	6619
616	10636	6602
617	10654	6585
618	10672	6569
619	10690	6552
620	10709	6535
621	10727	6519
622	10745	6502
623	10762	6485
624	10781	6469
625	10801	6453
626	10820	6436
627	10837	6419
628	10857	6403
629	10876	6387
630	10894	6370
631	10912	6353
632	10930	6337
633	10949	6321
634	10967	6304
635	10986	6287
636	11006	6272
637	11024	6255
638	11042	6238
639	11060	6221
640	11079	6205
641	11097	6188
642	11115	6171
643	11135	6155
644	11153	6138
645	11172	6122
646	11192	6106
647	11211	6090
648	11230	6073
649	11246	6056
650	11266	6039
651	11284	6023
652	11303	6006
653	11322	5989
654	11340	5973
655	11360	5957
656	11377	5940
657	11396	5923
658	11413	5906
659	11431	5888
660	11450	5872
661	11469	5856
662	11488	5839
663	11507	5823
664	11526	5806
665	11545	5789
666	11562	5772
667	11581	5755
668	11600	5739
669	11617	5722
670	11637	5705
671	11655	5689
672	11673	5672
673	11691	5654
674	11710	5638
675	11727	5620
676	11745	5604
677	11764	5587
678	11782	5570
679	11802	5554
680	11822	5537
681	11840	5521
682	11859	5504
683	11878	5487
684	11896	5470
685	11915	5453
686	11932	5436
687	11951	5419
688	11970	5403
689	11988	5386
690	12007	5369
691	12026	5352
692	12045	5336
693	12063	5319
694	12081	5301
695	12099	5284
696	12117	5267
697	12136	5251
698	12155	5234
699	12174	5217
700	12194	5201
701	12212	5184
702	12231	5167
703	12250	5150
704	12268	5133
705	12286	5116
706	12305	5099
707	12324	5082
708	12343	5066
709	12362	5049
710	12380	5032
711	12397	5014
712	12416	4997
713	12435	4981
714	12453	4964
715	12472	4947
716	12491	4930
717	12509	4913
718	12528	4896
719	12546	4879
720	12565	4862
721	12584	4845
722	12602	4828
723	12620	4811
724	12637	4793
725	12656	4776
726	12674	4759
727	12694	4742
728	12714	4726
729	12732	4709
730	12751	4692
731	12770	4675
732	12789	4658
733	12807	4641
734	12826	4624
735	12844	4607
736	12862	4590
737	12880	4572
738	12898	4555
739	12916	4538
740	12935	4521
741	12954	4504
742	12973	4487
743	12992	4470
744	13010	4453
745	13030	4436
746	13050	4419
747	13069	4402
748	13087	4385
749	13106	4368
750	13125	4351
751	13144	4334
752	13163	4318
753	13184	4301
754	13203	4284
755	13221	4267
756	13238	4249
757	13255	4232
758	13272	4214
759	13291	4197
760	13309	4179
761	13327	4162
762	13346	4145
763	13365	4128
764	13383	4111
765	13402	4094
766	13420	4076
767	13439	4059
768	13457	4042
769	13477	4025
770	13497	4008
771	13514	3991
772	13532	3973
773	13552	3957
774	13571	3940
775	13589	3922
776	13608	3905
777	13627	3888
778	13645	3871
779	13664	3854
780	13682	3836
781	13701	3819
782	13719	3802
783	13739	3785
784	13757	3767
785	13776	3750
786	13794	3733
787	13812	3716
788	13830	3698
789	13848	3681
790	13865	3663
791	13884	3646
792	13903	3629
793	13921	3611
794	13940	3594
795	13959	3577
796	13978	3560
797	13996	3543
798	14016	3525
799	14034	3508
800	14052	3491
801	14071	3474
802	14089	3456
803	14109	3439
804	14128	3422
805	14146	3405
806	14164	3387
807	14182	3370
808	14201	3352
809	14218	3335
810	14239	3318
811	14258	3301
812	14278	3284
813	14298	3267
814	14317	3249
815	14335	3232
816	14355	3215
817	14374	3198
818	14393	3180
819	14411	3163
820	14429	3146
821	14448	3128
822	14466	3111
823	14484	3093
824	14503	3076
825	14522	3059
826	14540	3041
827	14559	3024
828	14578	3007
829	14597	2989
830	14617	2972
831	14636	2955
832	14654	2937
833	14671	2920
834	14690	2902
835	14709	2885
836	14728	2868
837	14746	2850
838	14765	2833
839	14784	2816
840	14803	2798
841	14826	2782
842	14843	2764
843	14862	2747
844	14879	2729
845	14897	2711
846	14915	2694
847	14934	2677
848	14953	2659
849	14972	2642
850	14990	2624
851	15008	2607
852	15027	2589
853	15047	2572
854	15065	2555
855	15085	2537
856	15102	2520
857	15124	2503
858	15143	2485
859	15163	2468
860	15184	2451
861	15202	2433
862	15225	2417
863	15242	2399
864	15261	2381
865	15279	2364
866	15296	2346
867	15314	2328
868	15332	2311
869	15351	2293
870	15369	2276
871	15389	2258
872	15406	2241
873	15426	2223
874	15444	2206
875	15463	2188
876	15482	2171
877	15500	2153
878	15518	2136
879	15536	2118
880	15556	2101
881	15576	2083
882	15595	2066
883	15614	2048
884	15631	2031
885	15650	2013
886	15668	1996
887	15687	1978
888	15706	1961
889	15725	1943
890	15743	1925
891	15765	1908
892	15789	1891
893	15811	1874
894	15833	1857
895	15854	1840
896	15878	1823
897	15896	1805
898	15918	1788
899	15938	1770
900	15957	1753
901	15976	1735
902	15994	1718
903	16012	1700
904	16032	1682
905	16051	1665
906	16070	1647
907	16091	1630
908	16110	1612
909	16130	1595
910	16149	1577
911	16168	1560
912	16186	1542
913	16205	1524
914	16224	1507
915	16242	1489
916	16262	1472
917	16281	1454
918	16299	1436
919	16336	1420
920	16362	1403
921	16381	1385
922	16399	1368
923	16428	1351
924	16448	1333
925	16466	1315
926	16486	1298
927	16503	1280
928	16522	1262
929	16539	1244
930	16558	1227
931	16576	1209
932	16594	1191
933	16611	1173
934	16629	1156
935	16650	1138
936	16672	1120
937	16692	1103
938	16718	1086
939	16743	1068
940	16766	1051
941	16797	1034
942	16827	1017
943	16857	1000
944	16885	982
945	16915	965
946	16940	948
947	16964	930
948	16991	913
949	17019	895
950	17044	878
951	17069	860
952	17097	843
953	17157	827
954	17203	810
955	17254	794
956	17299	777
957	17331	759
958	17363	742
959	17390	724
960	17418	706
961	17442	688
962	17470	671
963	17492	653
964	17514	635
965	17534	617
966	17559	599
967	17583	581
968	17610	563
969	17638	545
970	17662	527
971	17695	509
972	17722	491
973	17751	473
974	17774	455
975	17792	437
976	17817	419
977	17836	401
978	17854	382
979	17872	364
980	17891	346
981	17910	328
982	17927	310
983	17945	291
984	17964	273
985	17982	255
986	18001	237
987	18020	218
988	18039	200
989	18059	182
990	18077	164
991	18095	145
992	18113	127
993	18130	109
994	18150	91
995	18167	72
996	18185	54
997	18203	36
998	18222	18
999	18240	0
