iter	Logloss
0	0.5569664724
1	0.448595873
2	0.3631358799
3	0.2946179344
4	0.2422297972
5	0.2011443094
6	0.168845441
7	0.1398704718
8	0.1168475536
9	0.0990871319
10	0.08614079318
11	0.07740831538
12	0.06807374233
13	0.06158824437
14	0.05514272129
15	0.05097169169
16	0.04665177192
17	0.04327504986
18	0.04053626617
19	0.03828557265
20	0.03645976176
21	0.03539651087
22	0.03385205629
23	0.03287157541
24	0.03172825765
25	0.03079038521
26	0.03010631425
27	0.02972486262
28	0.02914621463
29	0.02859746929
30	0.02814066743
31	0.02795101838
32	0.02755720145
33	0.02699602578
34	0.02665602253
35	0.02644137402
36	0.02632330146
37	0.02616374358
38	0.02601707844
39	0.02585564762
40	0.02573460584
41	0.0254385047
42	0.02539130909
43	0.02535618036
44	0.02532358251
45	0.02529218014
46	0.02517358597
47	0.02512216719
48	0.02500905747
49	0.02489539572
50	0.02487213558
51	0.02485162801
52	0.02483088962
53	0.02460568844
54	0.0245025959
55	0.02448356981
56	0.02446454744
57	0.02444711582
58	0.02443185981
59	0.02441473799
60	0.02439839702
61	0.02438194905
62	0.02436466028
63	0.02434868518
64	0.02429498678
65	0.02428232956
66	0.02426794339
67	0.02425555091
68	0.02424021174
69	0.02422767198
70	0.02421332494
71	0.02419910202
72	0.02410720644
73	0.02403357775
74	0.02402065017
75	0.02394930409
76	0.02389387455
77	0.02388182992
78	0.02386852966
79	0.02385656564
80	0.02384511465
81	0.02383365054
82	0.02366408949
83	0.02365335832
84	0.02364305541
85	0.0236338118
86	0.02362441518
87	0.02361380158
88	0.02347471734
89	0.02346608091
90	0.02342274924
91	0.02341469405
92	0.02335326464
93	0.02322214162
94	0.02321338563
95	0.02320554294
96	0.02314813445
97	0.0231045955
98	0.02309709364
99	0.02304839299
100	0.02303605027
101	0.02293694977
102	0.0229305648
103	0.02292330363
104	0.02288318642
105	0.02286658702
106	0.02286126656
107	0.02285188579
108	0.02282720568
109	0.02281714036
110	0.02278819022
111	0.0227636573
112	0.02275157555
113	0.02271502174
114	0.02270853348
115	0.02268897649
116	0.02268300014
117	0.02263051775
118	0.02262142719
119	0.02261628853
120	0.0226077079
121	0.02254975297
122	0.02251184067
123	0.02249241416
124	0.02248140502
125	0.02246988946
126	0.02242123827
127	0.02241416756
128	0.02240738704
129	0.02239988469
130	0.02230351438
131	0.02229674138
132	0.02228930559
133	0.02225185183
134	0.02224667078
135	0.02215461006
136	0.02214588652
137	0.02212084041
138	0.02211677027
139	0.02209528089
140	0.02208910769
141	0.02208475632
142	0.02205427243
143	0.02204785897
144	0.02204428713
145	0.02201013906
